Genes,Exp110952,Exp110954,Exp110955,Exp110957,Exp110958,Exp110959,Exp110960,Exp110962,Exp110963,Exp110964,Exp110965,Exp110966,Exp110967,Exp110968,Exp110969,Exp110970,Exp110971,Exp110972,Exp110973,Exp110974,Exp110977,Exp110978,Exp110979,Exp110980,Exp110981,Exp110982,Exp110983,Exp110984,Exp110985,Exp110986,Exp110987,Exp110988,Exp110989,Exp110990,Exp110991,Exp110992,Exp110993,Exp110994,Exp110995,Exp110996,Exp110997,Exp110998,Exp110999,Exp111000,Exp111001,Exp111002,Exp111003,Exp111004,Exp111005,Exp111006,Exp111007,Exp111008,Exp111009,Exp111010,Exp111011,Exp111012,Exp111013,Exp111014,Exp111015,Exp111016,Exp111017,Exp111018,Exp111019,Exp111020,Exp111021,Exp111022,Exp111023,Exp111024,Exp111025,Exp111026,Exp111027,Exp111028,Exp111029,Exp111030,Exp111031,Exp111032,Exp111033,Exp111034,Exp111035,Exp111036,Exp111037,Exp111038,Exp111039,Exp111040,Exp111041,Exp111042,Exp111043,Exp111044,Exp111045,Exp111046,Exp111047,Exp111048,Exp111049,Exp111050,Exp111051,Exp111052,Exp111053,Exp111054,Exp111055,Exp111056,Exp111057,Exp111058,Exp111059,Exp111060,Exp111061,Exp111062,Exp111063,Exp111064,Exp111104,Exp111105,Exp174719,Exp174720,Exp174721,Exp174722,Exp174723,Exp174724,Exp174725,Exp174726,Exp174727,Exp174728,Exp174729,Exp174730,Exp174731,Exp174732,Exp174733,Exp174734,Exp174735,Exp174736,Exp174737,Exp174738,Exp174739,Exp174740,Exp174741,Exp174742,Exp174743,Exp174744,Exp174745
A1BG,18.7986426610081,19.229036429086,19.109886796509,19.1469722133534,19.4298413994318,19.465339561054,19.3413487882417,18.8648279718367,19.0920056111674,19.7637366381398,19.5192098510941,19.1004493412519,19.3405608409566,19.1101795712901,19.1564664374047,19.397668828425,19.3274202452325,19.186884638279,18.9550690385778,19.2217014353043,18.9546264434266,19.521167763337,19.1027298539046,19.1552838178368,19.4581895475718,19.5771426418368,19.4656040793446,19.6726527853834,18.9156854989505,19.1262188767344,19.2927737885306,18.9418160927508,18.9065627991358,19.1746785048945,19.5449361475918,19.0709856972095,19.0424110142699,19.2361959220572,18.9491230530722,19.5291019275901,18.7575139092851,19.3726423689442,19.105092567843,19.0084815942884,19.4039670645665,19.5847209386755,18.9784802751208,19.1354638030586,18.7095344194675,19.0467066860255,19.1477810117808,18.9803892457147,19.1026659319447,19.1161040153291,19.1240621793509,19.1003553141527,19.2352791459395,19.0790919894031,19.0841762303609,19.3486115563855,19.0608015926856,19.2115330851162,18.9575022076844,19.289705281324,18.9658440712027,19.1375724908271,19.2013177789228,19.1047619870365,18.9523266963971,19.0441172734491,19.122263070436,19.1329009954135,19.3443534009122,18.9430799804432,18.9431716270554,19.5008605101461,18.8472599248287,19.011089903131,18.9926260629277,19.2024026230558,18.8810877380989,18.9982082339232,18.8968240266982,19.0131708292756,18.8182404368421,19.1210476921327,19.0411083771671,19.2328590442994,18.9065561236161,19.3930455085708,19.2873077327645,18.8560699506207,18.994600291831,18.8290471369356,18.9608233306603,19.1052630258773,18.86565618026,18.9427275519026,19.2969029318805,19.2363406276606,18.9881694585866,19.4257149564346,18.9627887416219,18.9949808504431,18.8913187471068,18.7350291039574,18.5280774617979,18.9443691489801,19.0973566779122,18.7364854087219,18.9734029140608,19.0633643798982,18.9805844885341,19.0877887430436,19.005868776251,18.744168757289,18.8995580267711,19.1222273395658,18.8801808261784,18.881891783221,18.7239960447075,18.8290876048215,18.7683040031064,18.8165979332144,18.9683497580889,18.9335450485295,18.8122627881002,18.849109935618,18.8318314519136,18.7297419339024,18.9703059270233,19.0220797944286,19.044057700371,19.0205583319522,19.155957975855,18.6608880282378,19.6616659840493
A2M,20.0050609366568,19.75483954028635,19.75386007182525,21.0608239439888,19.9389377975054,19.56727925640035,20.5168669535765,19.601553924024948,19.8361969684992,20.22928683638855,19.615118449437706,20.214946044202,20.00904483764035,19.2722653777026,19.5833431945779,19.9202554641692,19.3776651465683,21.10361618368405,19.6817705535099,19.5431671523506,20.0650962473065,19.5974745771613,19.774199989451503,21.0140486567324,20.1330231896986,19.55869189779615,20.3449678972985,19.9641956143359,19.624593654732152,19.381604538062952,19.5381842892494,20.1399971857583,19.1712649034328,19.4590849026032,20.0422242478106,19.061886759320306,21.177718847907848,19.4931281405368,19.62854485672575,19.4985169826855,20.1856787623634,19.4364999460131,19.80213241741975,20.9130741385277,19.9103104458336,19.62320777333245,20.4087653369996,19.5330465814411,19.5580901266439,19.7606283603606,20.17234208502405,19.95228199732415,19.903100621163603,20.17988541392355,19.72613050534065,20.25168221989945,19.54540060812645,19.5485062542747,20.1328621481371,19.6305958212312,20.0332201024153,20.10964447951045,19.6687853428021,19.7808852312375,19.2134451920046,19.4459910309212,19.75857345651785,20.4617709772756,19.1083244850767,20.948034205217603,19.10149734809145,19.3093370934764,19.69628367665845,19.0971393462965,19.1721285402745,19.289262424253156,20.2318981201811,19.39810149822985,19.8864880964993,20.8461434707051,20.098141335352,19.0551956158484,20.2005647026343,19.9734328891753,20.191424556779552,19.9519649878403,19.98079071660965,19.313774147296648,19.42647236528105,19.2208773436183,20.23676155402375,20.8994845777994,19.9447996333542,19.1278671848599,19.1577545557892,19.70342170208405,20.777055981209,20.8099964363976,19.70784502961105,19.5327694053778,19.6364871780288,19.2482812641769,19.5639456205013,19.9857352738937,19.02793426691865,19.92304654086425,19.5042039969949,19.2340331488159,19.65539267047395,19.2725797441658,19.758294912258748,19.6424750896507,19.82633608364215,19.6967850839909,19.6094574728717,19.944388254872948,19.7330439689299,19.660882372456648,18.9900156203051,19.0663983340942,19.063496628371,19.078155162583,19.0050897796358,19.1070845435204,18.9299331896662,19.0107878170112,18.834391174877247,18.8716163886769,19.071896561896157,18.9879824140667,18.9110430695972,18.9915458232735,18.9135164523954,18.8132537122596,19.2814113752094,20.147142781418097,19.835904420943848
ADARB1,,17.2477602448042,17.3339617715745,,15.9255690551535,15.9079539475577,15.1614385019758,17.4250065133551,16.2660667159302,16.4104424105232,,16.0251421964102,14.8596856788499,16.1162098721049,,16.2521748704387,,16.5617564433291,15.9254636573328,,15.9546329279977,17.5959282385053,16.5421155249814,,15.1342314462511,15.6418524174485,,16.1500041804679,16.6129144893634,17.0319030866327,15.4820458563866,,16.4447047185523,15.6683461345694,16.1053755194043,17.3944958946197,17.6191020224175,16.5240404783793,14.5636394433904,14.7363464953721,16.2268702639956,17.5054183744109,16.6141478747034,,15.1814667167815,14.9032760415589,,,14.8549422852485,15.8394570048568,,15.3622241574842,15.6691235374845,16.5467904659997,16.0640089245862,15.4149990850033,,,,14.9833602895742,,14.8829065401396,,,15.6554962867955,15.6746646935897,,15.744882546661,15.3205597400574,17.3843407580346,,14.3891501806251,16.5926057070209,,15.4862892393545,18.3193424076549,15.5867216705633,15.74740968649,16.7664840749668,17.8040268547184,14.8064785093954,,15.8012726682695,16.5196848643136,,15.2042683884707,16.745127926276,,16.1535720347181,,15.8203568354016,17.3789844548742,,15.2012723311754,,15.5206415493285,,16.7824460755797,17.3815261425871,15.205852698594,15.1544189022288,16.3444764739066,16.360575824869,15.0857045367769,15.2206243328062,15.9652669741358,15.4645508386823,,,,17.4905919962717,,17.4731720500513,,,17.5436630730369,,,17.3821687514363,16.7999794742282,16.1213323924034,16.4307593656788,16.5951997606768,16.6720248472265,,17.1866430886098,16.8954128765584,17.0864859740611,17.0780393536508,16.3350664133279,16.7786588495089,16.7901379458378,16.9685676033404,,17.265698148376,16.5891086094753,
ADGRB3,18.3717658246627,18.4328443701181,18.5385845816148,18.7007116340883,18.2912534628928,18.382957252007,18.5994698653462,18.203402716729,18.4886475612668,18.4944170166445,17.9629385671009,18.7444502493434,18.2287746266095,18.6449620425283,18.0393404982082,17.7475638122479,18.2283091367422,18.7481739440482,18.4970189222547,18.6808826105106,19.1223474914067,18.8665391281938,18.8041534993259,18.5795437629312,18.6691216182441,17.8460135987977,17.1005810828674,18.6253353172045,17.6022751445247,16.5471539022938,17.721411288727,18.7260559381001,18.5501732932354,17.8920937989879,17.9323367209071,17.9349747549211,18.6082578613565,18.2434498229575,17.5286862725254,18.1469472882842,18.6058442427608,17.2433854077104,18.8091933974441,18.4364081325248,18.4177877250623,18.0792220454597,18.7823350345106,18.8867069628121,18.7960710609407,18.305224316593,18.9688794488236,18.1396438010157,18.7741712307869,16.3830508927945,18.467811096673,18.5367291873382,18.8394080435591,19.2611527517748,18.624758625192,19.296699398354,18.9090869009873,18.895471106859,18.8204391535785,19.0827333718002,18.2277038827157,19.126123538066,18.6014742002718,19.3998216261868,18.2877188514823,18.2806597201727,18.3555271125386,18.0388562942229,17.998592511468,18.774747290606,18.9071629452785,17.3372313094591,19.2975776255714,17.5253967734227,17.6100837512002,16.1704943975893,18.7534738534816,17.7400347688829,18.5973955768982,18.36944731372,18.6250150192692,18.3892326440739,18.011906392575,17.3568874568822,17.7135481722808,17.6442645815449,18.0376383631841,18.6321372650776,18.7018640382506,19.0083518253296,19.4278812293792,18.2564793880074,18.7847695973792,18.8323472038319,17.8410861766423,18.644207562208,18.7683316856037,17.845017951182,18.9442962856691,18.8226782451616,18.9490603259389,18.5634180131262,18.5474304396735,18.8353558310966,18.6648902142764,18.0885548893243,18.7421105103134,18.8303020497769,19.0103902906817,18.6310102522679,18.3163811563237,18.6584368398546,18.8659323063199,18.2331231084107,18.9629798189612,,19.2844017085682,19.4826828800523,19.3949006157335,19.5613658178753,19.5198162252348,18.8839306182546,19.3602674214601,19.1040277726225,19.4023898681,20.0460967713159,20.1283203163477,19.9351072775233,19.5501690774479,19.4847051786647,20.1910687039603,19.7886871834979,
ADIPOQ,15.9923533038112,15.9149700936753,15.8485674767201,16.1693136796104,16.2694495451616,15.8188962878389,16.5528958622786,15.8511615693496,16.5304448233457,17.5238348089349,15.9629910288429,16.4454054919752,15.2525048699678,15.070311851115,14.8742568303913,15.8124032131276,16.304497892877,16.91558674989,16.2948656732008,15.7752124544002,16.4072537622951,16.576512275063,16.3087986592387,15.9826439222361,16.3260057244639,15.7272785713613,16.4363406667945,17.6720198805216,15.6800848939954,16.3011358544194,15.8928179377699,16.5572261713256,15.9310334491856,15.2883829919776,16.0384959590241,15.9819522712174,16.0110422707166,15.906506757685,16.2379918743392,15.782435153893,16.2530927829217,15.7491533574928,16.5426021444168,15.634434905426,16.3919683337963,15.6459317719408,16.9360606172343,16.3430452131015,15.8010760432949,16.605209975726,15.5266611681107,16.0992645640888,15.8132998552239,16.1453347407477,16.0680087360083,16.2553290994836,16.3044481375707,16.8537095020737,17.4211427992,16.6079386584366,17.4671164510395,16.9147458116223,15.6129946377699,15.9834352458659,16.0688541878261,15.939976710746,,17.0676560819929,14.9687206879129,15.9818120838251,15.7984076878794,16.0026018503019,16.6369774189201,14.8488210377292,15.2813237690175,15.3071977422215,16.3009165087759,15.7371957355163,16.9690315961563,16.2127177451102,16.6176383540216,,16.4671645413699,16.2972653125857,16.3790518037304,15.966670933562,16.4283694696467,15.5412911269855,14.6739816406955,,16.0733675456205,16.1084959425042,16.3306988706631,,15.4791546091427,,15.6326159603173,16.1947186440543,15.9030290794875,15.8664187493659,16.3577413968796,15.2882662752817,16.3661044085449,16.3429991538082,15.3523770129316,16.3987137343927,16.0590915720555,15.9351477232872,15.574995277644,,15.923097669472,14.7076990692248,15.8731808586936,16.1445347856209,15.4573761022707,16.1791235903145,15.9047760848543,15.3007488386597,,,,14.8436392814354,,,,,,,,15.0331231901725,,,,15.1950542058825,16.1454958053606,16.4351435012766,16.4050955062545
AFM,17.5213544856782,17.8238842279408,17.9024870569742,18.4431594142568,18.4100040868243,18.2104227923987,17.5051236061645,17.432885512814,18.103287655184,17.7252620015223,17.5326388322421,17.7957789228519,17.6985512387927,18.3508393742776,18.1144675328728,16.9705667672719,17.7804082890151,18.1077856216551,18.0755692119066,18.2345121145042,18.0272785739544,17.6613604087948,18.1947006649226,18.415889934676,18.2871097367619,18.2036563669432,16.7692697539002,17.8507347113368,17.3610217509121,17.1601653232009,17.391156621343,17.5723950877212,18.2247877213005,17.7305604389076,16.9455102604299,17.5011594576626,17.7780215779484,17.5606793530651,17.6634688047734,17.7467079956763,17.9433114208761,17.278967949342,18.1921438092685,18.1077150542256,18.188220582813,18.2053525901646,17.6849487258977,18.3263380175951,18.4098553001603,18.1676382521707,18.14620338758,17.5849981571795,18.4035915677729,17.8972842520268,17.9087896551699,16.5340690948497,17.9105235121288,18.1206898923427,17.8991499643054,17.8548950324358,17.828361788641,18.098485514526,18.0554492849203,18.2776796486986,17.7173451493679,18.413634904559,18.1091590366843,17.678355018618,18.3272171201671,17.4068933696163,18.1716014915672,17.1295783954975,18.0179243596797,18.4122073751591,18.1746884854049,17.185266868986,17.9777723550734,17.2037507811454,17.7557989833216,17.9239916984188,17.7462248048084,17.6500636602834,17.4835772778412,17.7582153265735,17.4471932522925,17.6628309923641,17.6085117210962,17.0261076227209,17.440965192958,17.5748077965034,16.28160653949,17.6261070785735,18.086448732198,18.2397333619343,18.6421759881622,17.5944255045882,18.145996932676,17.7683427096818,16.6546755088421,17.3663976328299,17.7750348875465,16.9346134659412,18.0555017284935,17.9737738295689,18.3704631451697,17.7545493577063,18.0542484852038,18.2137776334086,17.6586358913456,18.0444940354899,17.7396191396335,17.6560137647611,17.8105573850557,17.7046152362681,17.80203784485,17.7754020309086,17.6668503806317,17.626794484098,18.1705563655749,18.3222136306519,18.3843749388911,18.5237603046891,18.4045963229844,18.5451107926413,18.276562216771,18.2417929639726,18.3659316295735,18.4333301352638,18.3795139963583,18.2022812192313,18.5606585184603,18.6009391977917,18.2843761903369,18.2750452296955,18.4291776494049,17.4646488966667,16.8695523892115
AGT,17.9305758766391,18.2616319735766,18.1226240325278,18.5475281137475,17.7293101754758,18.025377242298,17.9507408505421,18.2425904661439,18.2039758159123,18.3429401695743,17.8556393833494,18.0875652846782,18.2803849409567,17.9199633245434,17.7712262538689,18.3499207571796,17.6232604426094,18.2422718380219,18.0934541774187,18.0645302658294,18.1929275561957,18.1981560045376,18.0561382653089,18.3061834710371,17.4252078578714,18.1370436300117,17.9753859100282,18.6442453467351,17.9620970878525,18.125583778126,18.1404107970191,18.1402506960187,17.9867091383649,17.7180309635148,19.3146556584016,17.5344453970057,18.1921819943353,17.8210332843642,18.6654685238591,17.9378373086933,17.9243858136113,18.2300099940319,18.3309441970796,18.3079128748437,17.4390961657735,18.224520455228,18.1332939901808,18.4859872849962,18.7139798985845,17.9380803643566,18.540663870632,17.7915418504269,18.2473766052438,18.0988054256746,18.1857063782614,18.1790821018028,18.2605808130952,18.4858740737934,18.0464108008171,18.5655470325053,17.9868587638121,18.3912943905697,18.2872090172011,18.5849468468193,18.1555561347473,18.521844875523,17.9119025638426,18.2407999775957,17.9342454487508,18.1959813144938,18.0285789602616,17.5495401072591,18.5096860150512,18.3234003028401,18.1998123094652,18.2552530210331,18.3774504257895,17.7442373944978,17.7551003110616,18.3615162042151,18.0206879714525,17.7155322041608,18.064735365946,17.8943263988747,18.177491082689,17.8039155357621,17.6286569306739,17.9466529322957,17.392515383808,17.9641167709201,18.2196264247392,18.1028016418512,17.9557314181726,18.113754542524,18.6239606025742,18.1451692253173,18.3646791796063,18.231308192782,17.9356956633788,18.3201107614304,17.7998182328827,18.1058190008448,18.012025193412,17.88599667396,18.3081268416481,18.0264874197821,18.3325922095133,18.2309517204242,17.7570000740504,17.7186412673318,17.3793154668341,17.3861631536544,17.4744243945321,17.2492992107233,17.1827334549604,17.6650878030576,17.6216319988985,17.2685385419953,17.7070369869114,17.6846642648131,17.9207824865533,17.8392725038561,17.6674247978934,17.8139037400302,17.7684346037504,17.832264145864,17.7901284826053,17.7165061337829,18.1405614607726,17.778970871107,18.0391759048702,17.90240142318,17.9000425628662,17.7579977425315,18.5604435669294,17.8362774420514,17.2617801319672
AHSG,19.8836398623498,19.4483135613436,19.5878874359029,19.631625352448,19.1225016015946,19.584480704515,19.0971615388473,18.9087940632977,19.1142725745432,19.3694701136951,19.2889000583803,19.5080011286615,18.9964023514293,19.3303598715104,19.5596878687061,18.3285303795122,19.1762625214224,19.4695623231977,19.508392244451,19.1931399752134,19.7868789961592,19.5537855645765,19.6043494423315,19.6682200242344,19.626853090342,19.4234821616682,18.9716646832307,19.2378220118888,18.7935777288172,18.7763712700955,19.0845620892338,19.241612165617,19.2449068695567,19.3178236739543,18.5210606410116,18.9473299934707,19.2678443872251,19.2697308414481,18.6170888793435,18.9641713102187,19.704311403407,19.40401855853,19.5784268286402,19.4546290129794,19.3417321107993,19.5735824845111,19.7749114385049,19.3807307895201,19.3264960808452,19.4678377999075,19.2183823048658,19.5000631127468,19.5314878157648,19.2078111512426,19.0481935136116,19.0000175396734,18.9791185496495,19.5704985823733,19.3800898534451,19.0754623439868,19.3443367253237,19.6184846647235,19.0547769040822,19.508525766039,19.3617191314112,19.3701021591133,19.3408086122703,19.4505914954112,19.3142944307062,19.1138040550631,19.4566798950225,18.9701668179967,19.6119633045188,18.936384987138,19.0074304247046,19.3204323852458,19.0593000165227,18.7038617027454,20.2101285720035,19.2906653948583,19.0678672925549,18.9127701988309,18.978082591623,19.5774467427911,19.0980392260307,19.3654549090263,19.6218842788547,18.731868263757,19.185857250989,19.1929750989239,18.1866116189138,19.1025599432827,19.4673865846757,19.2034321048497,18.983581451353,18.573323962821,19.2697472471209,19.0876717415898,17.7443561754258,18.7702177819048,18.8669299234704,18.7434191364847,19.1190068499096,19.7071802062021,18.9423920701245,19.5944145693874,19.1133220265006,19.2314539314588,18.8444870958266,19.3770045635651,19.6447166934878,19.6171052621807,19.5449789494387,19.4151443076044,19.655167955019,19.4201212416599,19.36643380575,19.3126448697351,19.205293165651,19.1266222562081,18.855708686745,18.9476103710961,19.1253066473369,18.9315628290685,19.0891122213588,19.0965931430148,18.9272993877167,19.2327466594232,18.9920004901895,18.8603444694289,18.9997920185745,19.027140423621,19.1585696978671,19.0492809713906,19.5678167946837,19.2017833619823,19.5445395096126
ALB,20.850089325110066,23.06761877900293,21.410158197720037,21.183190108405167,21.409808021990436,21.3226611785266,21.90212449223053,21.483018281736765,21.59806847605567,21.719388770266267,21.202460629354267,21.9076610965483,21.347468297437164,21.9550740215754,21.693770948060564,20.843353365676837,21.669020613401862,21.976264355000968,21.97006885799023,21.863970622050868,21.1074832207291,20.7432736448843,22.465617927463967,22.04299719462097,21.749476046147603,21.7578093787143,21.946044174187435,21.7304817047921,21.601442518955903,21.380299690839035,21.391396690766868,22.088864045469336,21.9256931888075,21.768813969298105,21.687794671797832,21.929424624691496,22.21431764790973,21.654096365389638,21.831405413015364,21.9906297378641,22.073199133600298,21.563811418959062,22.076389896732703,21.934464295090503,21.84497634175004,21.968505865310306,22.130558860431837,22.116457536035767,22.19900176330083,21.8321299281431,22.350590640822237,21.776448413669765,22.1382608431596,21.928792185534665,21.87459809226787,22.162871067210265,22.15862662354904,22.299971880202964,22.0984450069067,22.314355748901864,22.181225214792438,22.1762029870745,22.211564260497,22.329853873892134,22.00007830079197,22.2036892281778,22.538588245001637,22.26933651370773,22.81795996502753,22.12951758997977,22.29698776777977,21.545243614972097,22.335066908498764,22.275346444952003,22.785503096081367,21.492331631940967,22.3975702543308,21.63179006132573,21.69632037811033,22.37569394456183,22.34685027253607,21.956557169010463,22.28295903988053,22.1097694600855,22.194855370866037,21.869777206225496,22.114543025746134,21.6067889350463,21.762483730416164,21.83463674464097,21.9680500115494,22.263878134794,22.1072290771254,22.273170938864165,22.717394925275467,21.55913603685184,22.21317121397313,22.206931169013867,21.22150013097777,21.98657932969217,21.9269282553626,21.7076711045966,22.177525497727437,21.9641026075162,22.406297696849663,22.078843888586267,22.224808597213837,22.175443491345096,21.96356920036644,20.9076939672419,21.068440170083,21.0232916899866,21.1257039056525,19.36257426918084,22.194521040195635,21.046990264791,21.035708434802167,21.60666834902137,22.08215114450837,22.414794104335368,21.0753340544084,21.7062095423528,21.76833423808603,21.2260979045881,21.93924152040944,22.39377231381,22.03627614687733,21.355947810726,22.1433105140132,21.5034174920668,21.8732556502339,21.806775626267168,22.411760778540867,22.13630337201523,21.4715240115973,21.7296588694962,22.27555003530893
AMBP,19.3321862080908,19.0753307906414,18.7688314031155,18.2437412253615,18.1726254503897,18.7315686695486,18.4614419916119,18.7260040627659,18.5463962732214,19.1446642181702,18.9686504013702,19.2547442320335,18.5736549886136,18.5335757835369,18.6274576842819,18.6336106354643,18.5584871729266,19.0007489567944,18.568109782272,18.7330876312832,19.1788361903705,19.123282547864,18.9247304034393,18.2697243571689,17.9476370689374,18.6809104656632,18.0306734142938,18.644937737469,18.7337483131762,18.0563135534581,18.5595964086445,19.0578360577204,18.2004124690598,18.6624189830812,18.703291906038,18.4121136821797,18.5579833092662,19.0227392293503,18.636553108673,18.6418949138702,19.3147384452707,18.7377230831902,19.0949495903695,18.3003150512918,18.1807302274915,18.6135300386941,18.1200754402614,18.3942586950171,18.9486077265374,18.7746822691689,18.3897458758992,18.6825034602895,18.8913397376402,18.68003037337,18.9332311883567,18.9037518880159,18.4971531069529,18.7243354629258,18.5737514303383,19.395531762278,18.6019435938303,18.9960260958214,18.7567873480822,18.6521793696395,19.0518438879417,18.6998259526626,18.8347812664201,19.3171670325925,18.2660678198685,18.688669274212,18.4586307181698,18.2077689684798,19.5287570409552,18.6944311434886,18.501684030639,18.9912104128065,19.0436123102971,18.2819362213089,18.7010267654615,18.6913061756327,19.0014398619214,17.9423168682178,18.9089831397484,19.530932229682,18.7034112520198,19.3637019713161,19.3048520054639,18.2788148950565,18.2641114374041,17.9866883030105,17.8543021713114,18.7016624165827,19.7739799416452,18.7397278477249,18.6475161552015,18.5449942005112,18.2639514841354,18.6873540493874,17.9507952383701,18.9846681351905,18.7423942738785,18.5366266155481,18.9212148892713,19.7746309746114,18.6865525249647,19.4943208643532,18.2210494452639,18.6989256667709,18.7370079917841,18.9124919720052,19.2231974251512,19.1330528571265,19.2794460582481,19.6312002735306,19.214233237064,19.5682804256698,19.6487070457941,19.2695468536696,18.7105538657969,18.790418122938,19.0786122833856,18.8053876248218,18.6505522765785,18.7920535027267,18.7572918537462,18.734940191196,18.6926101515525,18.7262408721784,18.9756550091816,18.7658444216945,19.0743943162774,18.8555422993718,18.8344601181369,18.7963381282761,19.1128421957519,19.370063083808,18.9961057294715
