Protein,Sample1,Sample1,Sample1,Sample1,Sample1,Sample2,Sample2,Sample2,Sample2,Sample2,Sample3,Sample3,Sample3,Sample3,Sample3,Sample4,Sample4,Sample4,Sample4,Sample4,Sample5,Sample5,Sample5,Sample5,Sample5,Sample6,Sample6,Sample6,Sample6,Sample6,Sample7,Sample7,Sample7,Sample7,Sample7,Sample8,Sample8,Sample8,Sample8,Sample8,Sample9,Sample9,Sample9,Sample9,Sample9,Sample10,Sample10,Sample10,Sample10,Sample10
A0A024RBG1,,,,665317,,,,,,,,,,,,,,,,986816,,,,,,,,,,,,,,710761,,,,,,,,,,,,,,,,
A0A075B6H7,8709380,7330930,11157700,11754300,6913080,10188200,10363800,10420500,8734140,14311900,12159300,9929770,8998060,9030570,10389700,9550350,11576300,7292060,10419200,8224710,7542660,8333550,10010300,9453250,7246060,8600860,7716000,9348970,9167580,10545900,7347790,9740650,8321220,8901560,6031080,8097000,5161840,10014900,10657200,9646520,6614550,7232940,6440070,6684010,7270770,6486360,6544270,6344750,5735500,4778670
A0A075B6I0,8313950,8594980,7303650,4216270,8790070,8025810,6365370,7518700,8403670,7184240,6536300,7810340,8232570,6934540,8162400,3294310,3023140,3371920,3189420,3478830,3233790,3159960,2460190,2954230,2692200,2884410,2732290,3411230,2921410,3337320,3483080,2473210,2648930,3701640,2449060,2188200,2322860,2125090,2919040,1455910,2585800,6955070,3945330,6676360,5367180,3239850,2759410,4539120,3118100,3234310
A0A075B6I4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168298,,,,,,,401155,409321,,210629,,,,,,,,
A0A075B6I7,,,1139560,991978,747759,,,,,,,,260729,,791298,479474,,,,485976,,,,,,486840,,,,432284,641708,,,443847,,,411914,,,,,,587728,,,,252328,,108232,
A0A075B6I9,20143200,12469900,10343000,11923100,13185400,15693100,18977300,21259700,16371500,11675700,16999400,10234600,16556900,9764220,14396900,15313500,15926700,8647230,14624900,15114200,16705200,17636900,13147500,17750300,7878860,20226700,18553000,14393300,19895000,12307000,10588900,11790300,15873400,18300600,16021000,15379700,15794600,17635100,18055500,17670400,12603500,12479700,12247800,10390200,12019600,9888810,8334760,12239600,8984700,8820120
A0A075B6J9,,,,,,,1401940,1362230,,,,,,1342690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A075B6K0,1114400,1345920,1696500,1439760,1818870,936879,808556,1253410,592503,621650,1327730,1250910,1585470,1238130,1116300,335820,856653,1118910,394721,1105170,667229,1105490,218694,208167,773225,744576,545604,1386080,842017,848298,414876,595313,267477,357887,870191,879626,1175530,401272,592532,972361,730432,563180,593037,1012630,1299030,1374490,902977,676708,1240900,683220
A0A075B6K4,,703947,,882788,,202730,,,,730694,502258,,,,222741,241686,627790,,225741,,595023,701219,1240060,,460941,684252,1051340,442084,815312,961870,812837,360094,743383,1157120,904524,604826,917826,1259630,592450,992204,1841520,1801250,2106040,2027520,1699760,704291,808952,1259000,950792,1141180
A0A075B6K5,1276770,,1765620,1009550,1005090,1366730,,1073240,1243490,1170650,1078370,1644580,1236910,1379880,1424870,1248280,1198900,964547,1240140,1099140,995890,978856,,1769980,1132520,,,1807510,1681120,1758140,1042760,713017,1444670,1816620,1124440,1547940,,1348750,1528480,1494760,1004620,1253940,1444810,1542490,1290130,1059370,1237880,799301,1132620,1145400
