Gene Symbol,organ
CFH,Liver
ARMD4,Liver
ARMS1,Liver
FHL1,Liver
HF,Liver
HF1,Liver
HF2,Liver
HUS,Liver
CFTR,Pancreas
ABC35,Pancreas
ABCC7,Pancreas
CF,Pancreas
CFTR/MRP,Pancreas
dJ760C5.1,Pancreas
MRP7,Pancreas
TNR-CFTR,Pancreas
FKBP4,Female tissue
FKBP52,Female tissue
FKBP59,Female tissue
MPO,Blood and immune system
PON1,Liver
ESA,Liver
PON,Liver
ABCB4,Liver
GBD1,Liver
MDR2,Liver
MDR3,Liver
PFIC-3,Liver
PGY3,Liver
SOX8,Brain
YBX2,Male tissue
Contrin,Male tissue
CSDA3,Male tissue
MSY2,Male tissue
KRT33A,Skin
Ha-3I,Skin
Krt1-3,Skin
KRTHA3A,Skin
CACNG3,Brain
LGALS14,Female tissue
CLC2,Female tissue
PPL13,Female tissue
SLC13A2,GI-tract
NaDC-1,GI-tract
SCN4A,Heart and skeletal muscle
HYKPP,Heart and skeletal muscle
HYPP,Heart and skeletal muscle
Nav1.4,Heart and skeletal muscle
SkM1,Heart and skeletal muscle
CACNA2D2,Lung
KIAA0558,Lung
FMO3,Liver
SYN1,Brain
TFAP2B,Male tissue
AP2-B,Male tissue
TFAP2D,Brain
TFAP2BL1,Brain
MAPK8IP2,Brain
IB2,Brain
JIP2,Brain
PRKM8IPL,Brain
MASP2,Liver
MASP1P1,Liver
IYD,Endocrine tissue
C6orf71,Endocrine tissue
DEHAL1,Endocrine tissue
dJ422F24.1,Endocrine tissue
DYRK4,Male tissue
NCAPD2,Blood and immune system
CAP-D2,Blood and immune system
CNAP1,Blood and immune system
hCAP-D2,Blood and immune system
KIAA0159,Blood and immune system
PHF7,Male tissue
HSPC226,Male tissue
NYD-SP6,Male tissue
FUZ,Male tissue
FLJ22688,Male tissue
Fy,Male tissue
PRSS3,Pancreas
PRSS4,Pancreas
TRY3,Pancreas
TRY4,Pancreas
LRRC23,Female tissue
B7,Female tissue
LRPB7,Female tissue
FMO1,Kidney
SLC6A7,Brain
PROT,Brain
DPF1,Brain
BAF45b,Brain
NEUD4,Brain
neuro-d4,Brain
ZBTB32,Male tissue
FAXF,Male tissue
FAZF,Male tissue
Rog,Male tissue
TZFP,Male tissue
ZNF538,Male tissue
GABRA3,Brain
SEMA3B,Female tissue
LUCA-1,Female tissue
SemA,Female tissue
sema5,Female tissue
SEMAA,Female tissue
semaV,Female tissue
NR1H4,Liver
FXR,Liver
HRR-1,Liver
HRR1,Liver
RIP14,Liver
ACPP,Male tissue
ACP-3,Male tissue
ACP3,Male tissue
PAP,Male tissue
STMN4,Brain
RB3,Brain
CLCA1,GI-tract
CaCC,GI-tract
CLCRG1,GI-tract
SLC38A5,Pancreas
JM24,Pancreas
SN2,Pancreas
NCDN,Brain
NCDN-1,Brain
NCDN-2,Brain
PLEKHB1,Brain
KPL1,Brain
PHR1,Brain
PHRET1,Brain
CYP3A43,Liver
CPS1,Liver
C8B,Liver
GABRA1,Brain
EJM5,Brain
HSD17B6,Liver
HSE,Liver
RODH,Liver
SDR9C6,Liver
MUSK,Heart and skeletal muscle
LRRC7,Brain
densin-180,Brain
KIAA1365,Brain
APBA2,Brain
D15S1518E,Brain
HsT16821,Brain
LIN-10,Brain
MGC:14091,Brain
MINT2,Brain
X11L,Brain
CYP46A1,Brain
CYP46,Brain
CASR,Endocrine tissue
FHH,Endocrine tissue
GPRC2A,Endocrine tissue
HHC,Endocrine tissue
HHC1,Endocrine tissue
NSHPT,Endocrine tissue
C6,Liver
SOX30,Male tissue
CDH10,Brain
C2orf83,Female tissue
DKFZp547H025,Female tissue
ZPBP,Male tissue
SP38,Male tissue
ZPBP1,Male tissue
TG,Endocrine tissue
AITD3,Endocrine tissue
TGN,Endocrine tissue
DCUN1D1,Male tissue
DCUN1L1,Male tissue
RP42,Male tissue
SCCRO,Male tissue
SCRO,Male tissue
Tes3,Male tissue
ZIC2,Brain
HPE5,Brain
GUCA2B,GI-tract
GPM6B,Brain
M6B,Brain
MGC17150,Brain
MGC54284,Brain
MAGEC2,Male tissue
CT10,Male tissue
HCA587,Male tissue
MAGE-C2,Male tissue
MAGEE1,Male tissue
CP,Liver
ADAMTS6,Female tissue
ADAM-TS6,Female tissue
NFE2L3,Female tissue
Nrf3,Female tissue
NRIP2,Brain
DKFZP761G1913,Brain
SPO11,Male tissue
CT35,Male tissue
SPATA43,Male tissue
TOPVIA,Male tissue
RELT,Blood and immune system
FLJ14993,Blood and immune system
TNFRSF19L,Blood and immune system
ITIH4,Liver
H4P,Liver
IHRP,Liver
ITIHL1,Liver
ITIH1,Liver
H1P,Liver
IATIH,Liver
ITIH,Liver
PKP2,Heart and skeletal muscle
MSH4,Male tissue
F7,Liver
CROCC,
ROLT,
rootletin,
DNAJC25,Liver
bA16L21.2.1,Liver
YBX3,Heart and skeletal muscle
CSDA,Heart and skeletal muscle
CSDA1,Heart and skeletal muscle
dbpA,Heart and skeletal muscle
ZONAB,Heart and skeletal muscle
VMP1,Blood and immune system
EPG3,Blood and immune system
TANGO5,Blood and immune system
TMEM49,Blood and immune system
SEZ6,Brain
SLC6A16,Male tissue
NTT5,Male tissue
AHRR,Male tissue
AHH,Male tissue
AHHR,Male tissue
bHLHe77,Male tissue
KIAA1234,Male tissue
GSC2,Male tissue
GSCL,Male tissue
DDX20,Male tissue
DP103,Male tissue
