,Principal component,statistic,pvalue,ev,annot
0,1,0.029227058584856747,0.7618143958993094,0.16539324267793157,others
1,2,0.0809638662849672,0.40043900979868796,0.08505733656853046,others
2,3,-0.06466199310236008,0.5021336557111984,0.05685892479580662,others
3,4,0.12958997362667085,0.17723352971821743,0.04493903340876649,others
4,5,0.09113450397854067,0.3436998551468834,0.03886987195539649,others
5,6,0.1268760002704957,0.18655794822575616,0.03131619572803131,others
6,7,-0.09649031850866714,0.31596674230888444,0.028389912183184676,others
7,8,0.03769357347338999,0.6958294379663532,0.0263513544828381,others
8,9,-0.06860221355634198,0.47638650606054933,0.02586970939143287,others
9,10,0.13509906904402316,0.15936659518824295,0.024415384031050223,others
10,11,0.1363072830962739,0.1556343997284501,0.02068227154477136,others
11,12,0.025638482519216462,0.7903388560980822,0.01910440281552296,others
12,13,0.12185379708315487,0.20474597008359732,0.01822601166725069,others
13,14,0.09123368572909858,0.34317274964347166,0.017439238318954803,others
14,15,-0.07674413362486757,0.4255203274377324,0.01595129088701837,others
15,16,0.13523431688569304,0.1589455240120968,0.014999779673778321,others
16,17,-0.01291616887947163,0.8934626691197962,0.01466823315734226,others
17,18,0.0013930527691995583,0.9884761042420085,0.013956274994903881,others
18,19,-0.00533327322318148,0.9559016559637573,0.013930910910594832,others
19,20,-0.09833870567815521,0.30674168712368843,0.01284877514359028,others
20,21,-0.031517255370466374,0.7437731080289081,0.01212212094723273,others
21,22,0.04208462006627144,0.6624460522838482,0.011496186193984397,others
22,23,-0.006027545477086762,0.9501679844556374,0.01104026885251054,others
23,24,0.004846380993169984,0.9599240325040577,0.010649794873941916,others
24,25,0.02991231431598404,0.7564023200586515,0.010312892900804364,others
25,26,-0.012113698352230463,0.9000463555163242,0.010100735193010933,others
26,27,-0.01332191240448121,0.8901365634202083,0.010005644105927592,others
27,28,-0.0919910736424498,0.33916438875157295,0.00933402438183275,others
28,29,-0.11549714852467145,0.22954482148311064,0.008897866601854033,others
29,30,0.16088632418907647,0.09313819962009501,0.008643113201283761,others
30,31,0.0413452651984762,0.6680231730825159,0.008033296880008593,others
31,32,-0.00788494916935284,0.9348418536538583,0.007819740891301904,others
32,33,0.05141672114149178,0.5937180226112777,0.007300346855830723,others
33,34,-0.018398214728489955,0.8487027065003727,0.007116844064183231,others
34,35,-0.03828866397673737,0.6912692452649936,0.0069333443436951055,others
35,36,0.034321393954421485,0.7218715288881994,0.00665312538113204,others
36,37,0.12198002840204675,0.2042737786906897,0.006445889950029134,others
37,38,-0.007731668282126998,0.9361058074074716,0.006244291697349947,others
38,39,0.2277528571106553,0.0167138228920994,0.006069675099499679,p < 0.05
39,40,-0.15329441201000835,0.1098507327798828,0.005790615678055253,others
40,41,0.034934517503324845,0.7171118556226016,0.005539042230862626,others
41,42,-0.05017244099812907,0.602694344236759,0.0053873192616258865,others
42,43,-0.0598111038478011,0.5348008454858291,0.005246134406521749,others
43,44,-0.003340621689245543,0.9723695268692485,0.005191948809501219,others
44,45,-0.12195297883371278,0.20437489673995068,0.004738474792241625,others
45,46,-0.027973761918716047,0.7717424021276835,0.004695713599312698,others
46,47,0.1334129792845389,0.16468599627993497,0.004576284044978649,others
47,48,-0.07978270180105042,0.40736980679396817,0.004385184145362354,others
48,49,0.0752654238892771,0.43451894807528424,0.004233262827221964,others
49,50,0.05846764195388049,0.5440313490512267,0.003953504820449673,others
50,51,-0.12518991051101142,0.1925279911615825,0.003795236654829134,others
51,52,0.13967044609246443,0.14559022691731274,0.00377603688651524,others
52,53,-0.1452967563059306,0.1298923986935585,0.0036466788520386167,others
53,54,-0.06171359015395713,0.5218641254795782,0.0035134091372467017,others
