,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
0,KEGG,KEGG:04610,Complement and coagulation cascades,3.9364673444135314e-80,True,Complement and coagulation cascades,86,112,53,8161,0.4732142857142857,0.6162790697674418,query_1,['KEGG:00000'],"['FGG', 'VTN', 'SERPINA1', 'C4B', 'A2M', 'FGB', 'FGA', 'C4A', 'C3', 'CFH', 'F2', 'C1QC', 'SERPING1', 'KNG1', 'CFB', 'PLG', 'C9', 'C4BPA', 'SERPINC1', 'CLU', 'SERPINF2', 'C1QA', 'C1QB', 'F10', 'SERPIND1', 'CFHR3', 'PROS1', 'C1R', 'C8A', 'F9', 'C8B', 'CPB2', 'C7', 'C2', 'C5', 'C1S', 'KLKB1', 'C6', 'C8G', 'VWF', 'SERPINA5', 'CFI', 'MASP2', 'F12', 'F11', 'MBL2', 'C4BPB', 'MASP1', 'F13A1', 'PROC', 'F5', 'CFD', 'F13B']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
1,REAC,REAC:R-HSA-166658,Complement cascade,5.106039602346224e-65,True,Complement cascade,111,174,53,10835,0.3045977011494253,0.4774774774774775,query_1,['REAC:R-HSA-168249'],"['IGKV3D-20', 'IGHG4', 'IGHG2', 'IGKV3-20', 'IGHV3-7', 'IGLV3-21', 'VTN', 'IGHG1', 'IGKV4-1', 'IGHV1-2', 'C4B', 'IGLV2-11', 'IGLV1-47', 'IGKV1-5', 'IGLV6-57', 'C4A', 'C3', 'CFH', 'IGLV1-51', 'F2', 'IGHV1-69', 'C1QC', 'SERPING1', 'CFB', 'C9', 'IGLV1-40', 'C4BPA', 'CLU', 'IGHV1-46', 'IGKV1D-16', 'C1QA', 'IGKV1-16', 'IGHV2-5', 'IGKV1-17', 'CFHR3', 'PROS1', 'C8A', 'C8B', 'CPB2', 'C7', 'C2', 'C5', 'C1S', 'FCN3', 'CPN2', 'C6', 'C8G', 'CFI', 'CPN1', 'MBL2', 'C4BPB', 'MASP1', 'CFD']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
2,REAC,REAC:R-HSA-977606,Regulation of Complement cascade,3.4140899428712764e-60,True,Regulation of Complement cascade,101,174,49,10835,0.28160919540229884,0.48514851485148514,query_1,['REAC:R-HSA-166658'],"['IGKV3D-20', 'IGHG4', 'IGHG2', 'IGKV3-20', 'IGHV3-7', 'IGLV3-21', 'VTN', 'IGHG1', 'IGKV4-1', 'IGHV1-2', 'C4B', 'IGLV2-11', 'IGLV1-47', 'IGKV1-5', 'IGLV6-57', 'C4A', 'C3', 'CFH', 'IGLV1-51', 'F2', 'IGHV1-69', 'C1QC', 'SERPING1', 'CFB', 'C9', 'IGLV1-40', 'C4BPA', 'CLU', 'IGHV1-46', 'IGKV1D-16', 'C1QA', 'IGKV1-16', 'IGHV2-5', 'IGKV1-17', 'CFHR3', 'PROS1', 'C8A', 'C8B', 'CPB2', 'C7', 'C2', 'C5', 'C1S', 'CPN2', 'C6', 'C8G', 'CFI', 'CPN1', 'C4BPB']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
3,GO:BP,GO:0002250,adaptive immune response,9.323420799825397e-54,True,"""An immune response mediated by cells expressing specific receptors for antigens produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory)."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",718,225,78,21010,0.3466666666666667,0.10863509749303621,query_1,['GO:0006955'],"['IGKV3D-20', 'IGHG4', 'IGHA1', 'IGKV3-7', 'IGHM', 'IGHA2', 'IGHG2', 'JCHAIN', 'IGKV3-20', 'IGHV3-7', 'IGHV4-28', 'IGLV3-21', 'IGHV3-64D', 'IGHV3-15', 'IGHV2-70D', 'IGHV5-51', 'IGHV5-10-1', 'IGHG1', 'HPX', 'IGKV4-1', 'IGHV3-38', 'IGHV1-2', 'C4B', 'IGLV2-11', 'IGLV1-47', 'FGB', 'IGKV1-8', 'IGKV1-5', 'IGHV3-74', 'IGLV3-9', 'FGA', 'IGLV6-57', 'C4A', 'C3', 'IGHV1-3', 'IGLV1-51', 'IGHV1-69', 'C1QC', 'SERPING1', 'IGLV8-61', 'IGHV3-49', 'IGHV6-1', 'IGHV1-69D', 'CFB', 'IGKV3D-15', 'IGLV1-36', 'IGKV6-21', 'IGHV3-64', 'C9', 'IGLV2-18', 'IGLV1-40', 'IGHV1-18', 'C4BPA', 'CLU', 'IGHV1-46', 'IGKV1D-16', 'C1QA', 'IGKV1-16', 'IGHV2-5', 'IGKV1-17', 'C8A', 'FCGR3A', 'C8B', 'IGHV1-24', 'C7', 'C2', 'C5', 'C1S', 'C6', 'C8G', 'IGHV2-26', 'CFI', 'MASP2', 'MBL2', 'C4BPB', 'B2M', 'C1RL', 'TFRC']","[['IEA'], ['NAS', 'IEA'], ['NAS', 'IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['NAS', 'IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA']]"
4,GO:BP,GO:0006955,immune response,2.4383277735168884e-53,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",1951,225,113,21010,0.5022222222222222,0.057919015889287544,query_1,"['GO:0002376', 'GO:0050896']","['IGKV3D-20', 'IGHG4', 'IGHA1', 'IGKV3-7', 'IGHM', 'IGHA2', 'IGHG2', 'JCHAIN', 'IGKV3-20', 'IGHV3-7', 'IGHV4-28', 'IGLV3-21', 'IGHV3-64D', 'IGHV3-15', 'APOA1', 'IGHV2-70D', 'IGHV5-51', 'IGHV5-10-1', 'CD5L', 'VTN', 'IGHG1', 'HPX', 'IGLL1', 'IGKV4-1', 'IGHV3-38', 'IGHV1-2', 'C4B', 'A2M', 'IGLV2-11', 'IGLV1-47', 'TF', 'FGB', 'IGKV1-8', 'IGKV1-5', 'IGHV3-74', 'APCS', 'IGLV3-9', 'FGA', 'IGLV6-57', 'C4A', 'C3', 'IGHV1-3', 'CFH', 'IGLV1-51', 'F2', 'APOA2', 'IGHV1-69', 'C1QC', 'SERPING1', 'IGLV8-61', 'IGHV3-49', 'IGHV6-1', 'IGHV1-69D', 'CFB', 'IGKV3D-15', 'IGLV1-36', 'APOA4', 'APOE', 'AMBP', 'IGKV6-21', 'IGHV3-64', 'C9', 'IGLV2-18', 'IGLV1-40', 'IGHV1-18', 'PRKDC', 'MAP2K7', 'C4BPA', 'CLU', 'IGHV1-46', 'LBP', 'IGKV1D-16', 'C1QA', 'HRG', 'IGKV1-16', 'IGHV2-5', 'IGKV1-17', 'CFHR3', 'C1R', 'C8A', 'GSN', 'FCGR3A', 'C8B', 'IGHV1-24', 'C7', 'C2', 'C5', 'C1S', 'FCN3', 'APOL1', 'KRT1', 'ECM1', 'C6', 'C8G', 'AZGP1', 'GPLD1', 'IGHV2-26', 'CFI', 'PGLYRP2', 'ADARB1', 'LYZ', 'MASP2', 'F12', 'MBL2', 'C4BPB', 'MASP1', 'PRG4', 'B2M', 'C1RL', 'CFD', 'LCP1', 'CD14', 'TFRC']","[['IBA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IDA', 'IBA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['NAS'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['NAS', 'IEA'], ['IGI', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IGI', 'IBA', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IDA'], ['IDA'], ['NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['NAS'], ['IBA', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA'], ['IBA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IDA'], ['IPI'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IBA'], ['IDA'], ['IEA'], ['IEA'], ['NAS', 'IEA'], ['IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IPI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['IDA']]"
5,GO:BP,GO:0002376,immune system process,3.559605357227769e-49,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",2730,225,125,21010,0.5555555555555556,0.045787545787545784,query_1,['GO:0008150'],"['IGKV3D-20', 'IGHG4', 'IGHA1', 'HP', 'SAA1', 'IGKV3-7', 'IGHM', 'IGHA2', 'IGHG2', 'JCHAIN', 'IGKV3-20', 'IGHV3-7', 'IGHV4-28', 'IGLV3-21', 'ORM1', 'IGHV3-64D', 'IGHV3-15', 'APOA1', 'IGHV2-70D', 'IGHV5-51', 'IGHV5-10-1', 'CD5L', 'VTN', 'IGHG1', 'HPX', 'IGLL1', 'IGKV4-1', 'IGHV3-38', 'APOD', 'IGHV1-2', 'C4B', 'A2M', 'IGLV2-11', 'IGLV1-47', 'TF', 'FGB', 'ORM2', 'IGKV1-8', 'IGKV1-5', 'IGHV3-74', 'APCS', 'IGLV3-9', 'FGA', 'IGLV6-57', 'C4A', 'C3', 'IGHV1-3', 'CFH', 'RBP4', 'IGLV1-51', 'F2', 'APOA2', 'IGHV1-69', 'C1QC', 'SERPING1', 'IGLV8-61', 'IGHV3-49', 'IGHV6-1', 'IGHV1-69D', 'CFB', 'IGKV3D-15', 'IGLV1-36', 'APOA4', 'APOE', 'AMBP', 'IGKV6-21', 'FN1', 'IGHV3-64', 'C9', 'IGLV2-18', 'IGLV1-40', 'IGHV1-18', 'PRKDC', 'MAP2K7', 'C4BPA', 'CLU', 'IGHV1-46', 'LBP', 'IGKV1D-16', 'C1QA', 'HRG', 'IGKV1-16', 'IGHV2-5', 'IGKV1-17', 'CFHR3', 'C1R', 'C8A', 'SELL', 'CD44', 'GSN', 'FCGR3A', 'C8B', 'IGHV1-24', 'C7', 'C2', 'C5', 'C1S', 'FCN3', 'APOL1', 'KRT1', 'ECM1', 'C6', 'C8G', 'AZGP1', 'GPLD1', 'IGHV2-26', 'CFI', 'PGLYRP2', 'ADARB1', 'LYZ', 'MASP2', 'F12', 'MBL2', 'C4BPB', 'PRDX2', 'MASP1', 'PRG4', 'B2M', 'C1RL', 'ADIPOQ', 'CFD', 'LCP1', 'CD14', 'TFRC', 'GP1BA']","[['IBA', 'IEA'], ['NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'NAS'], ['IBA', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IBA', 'NAS'], ['IDA', 'IBA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IDA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IEA'], ['NAS'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IDA'], ['NAS', 'IEA'], ['IGI', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IBA'], ['IDA', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'IBA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IGI', 'IBA', 'IEA'], ['IMP', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['ISS'], ['IBA', 'NAS', 'IEA'], ['IDA'], ['IDA'], ['NAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['NAS'], ['IBA', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IBA', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IEA'], ['IDA', 'ISS', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'ISS', 'TAS', 'IEA'], ['NAS', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'IC', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IDA', 'ISS', 'TAS', 'NAS', 'IEA'], ['IDA'], ['IBA', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IBA', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA'], ['IMP', 'IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IEA'], ['IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IEA'], ['IDA', 'NAS', 'IEA'], ['IDA'], ['IPI'], ['IEA'], ['IDA', 'IBA', 'TAS', 'NAS', 'IEA'], ['NAS', 'IEA'], ['IBA'], ['IDA'], ['IEA'], ['IEA'], ['NAS', 'IEA'], ['IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['TAS'], ['IDA', 'IPI', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['IDA', 'IGI', 'IBA', 'NAS', 'IEA'], ['IEA'], ['IDA'], ['TAS', 'IEA'], ['IDA'], ['IDA', 'ISS', 'IEA'], ['IDA'], ['IEA']]"
6,GO:BP,GO:0006956,complement activation,6.62669430019202e-46,True,"""Any process involved in the activation of any of the steps of the complement cascade, which allows for the direct killing of microbes, the disposal of immune complexes, and the regulation of other immune processes; the initial steps of complement activation involve one of three pathways, the classical pathway, the alternative pathway, and the lectin pathway, all of which lead to the terminal complement pathway."" [GO_REF:0000022, GOC:add, ISBN:0781735149]",56,225,32,21010,0.14222222222222222,0.5714285714285714,query_1,"['GO:0002252', 'GO:0002253', 'GO:0006959']","['CD5L', 'C4B', 'A2M', 'C4A', 'C3', 'CFH', 'C1QC', 'SERPING1', 'CFB', 'C9', 'C4BPA', 'CLU', 'C1QA', 'CFHR3', 'C1R', 'C8A', 'C8B', 'C7', 'C2', 'C5', 'C1S', 'FCN3', 'KRT1', 'C6', 'C8G', 'CFI', 'MASP2', 'MBL2', 'C4BPB', 'MASP1', 'C1RL', 'CFD']","[['IEA'], ['IGI', 'IBA', 'IEA'], ['IDA'], ['IGI', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IPI'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['TAS', 'IEA']]"
7,REAC,REAC:R-HSA-109582,Hemostasis,2.7370035012244104e-41,True,Hemostasis,672,174,74,10835,0.42528735632183906,0.11011904761904762,query_1,['REAC:0000000'],"['IGKV3D-20', 'IGHA1', 'ALB', 'IGHM', 'IGHA2', 'JCHAIN', 'IGKV3-20', 'IGHV3-7', 'IGLV3-21', 'ORM1', 'FGG', 'APOA1', 'HBB', 'IGLL1', 'IGKV4-1', 'SERPINA1', 'IGHV1-2', 'A2M', 'IGLV2-11', 'IGLV1-47', 'TF', 'FGB', 'ORM2', 'IGKV1-5', 'FGA', 'IGLV6-57', 'APOH', 'IGLV1-51', 'F2', 'AHSG', 'IGHV1-69', 'SERPING1', 'HBD', 'A1BG', 'KNG1', 'SERPINA3', 'PLG', 'ITIH4', 'FN1', 'IGLV1-40', 'APOB', 'SERPINC1', 'CLU', 'SERPINF2', 'IGHV1-46', 'IGKV1D-16', 'F10', 'HRG', 'IGKV1-16', 'SERPIND1', 'IGHV2-5', 'IGKV1-17', 'PROS1', 'SELL', 'CD44', 'ITIH3', 'SELENOP', 'F9', 'LGALS3BP', 'KLKB1', 'ECM1', 'VWF', 'SERPINA5', 'CLEC3B', 'SERPINA4', 'F12', 'F11', 'F13A1', 'PROC', 'F5', 'CFD', 'F13B', 'GP1BA', 'QSOX1']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
8,GO:BP,GO:0006959,humoral immune response,1.5339471356733544e-37,True,"""An immune response mediated through a body fluid."" [GOC:hb, ISBN:0198506732]",249,225,44,21010,0.19555555555555557,0.17670682730923695,query_1,['GO:0006955'],"['IGHA1', 'IGHM', 'IGHA2', 'JCHAIN', 'IGKV3-20', 'CD5L', 'HPX', 'C4B', 'A2M', 'TF', 'FGB', 'FGA', 'C4A', 'C3', 'CFH', 'F2', 'C1QC', 'SERPING1', 'CFB', 'C9', 'C4BPA', 'CLU', 'C1QA', 'HRG', 'CFHR3', 'C1R', 'C8A', 'C8B', 'C7', 'C2', 'C5', 'C1S', 'FCN3', 'KRT1', 'C6', 'C8G', 'CFI', 'LYZ', 'MASP2', 'MBL2', 'C4BPB', 'MASP1', 'C1RL', 'CFD']","[['IDA'], ['IDA'], ['IDA'], ['IDA', 'IBA'], ['IDA'], ['IEA'], ['IEA'], ['IGI', 'IBA', 'IEA'], ['IDA'], ['IBA'], ['IDA'], ['IDA'], ['IGI', 'IBA', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA'], ['IDA', 'NAS', 'IEA'], ['IDA', 'IEA'], ['TAS', 'NAS', 'IEA'], ['IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['TAS', 'IEA'], ['IDA', 'TAS', 'NAS', 'IEA'], ['IDA'], ['IBA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IMP', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IDA', 'IEA'], ['IPI'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['TAS'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IPI', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IEA'], ['TAS', 'IEA']]"
9,REAC,REAC:R-HSA-166663,Initial triggering of complement,2.2542739454283235e-37,True,Initial triggering of complement,76,174,33,10835,0.1896551724137931,0.4342105263157895,query_1,['REAC:R-HSA-166658'],"['IGKV3D-20', 'IGHG4', 'IGHG2', 'IGKV3-20', 'IGHV3-7', 'IGLV3-21', 'IGHG1', 'IGKV4-1', 'IGHV1-2', 'C4B', 'IGLV2-11', 'IGLV1-47', 'IGKV1-5', 'IGLV6-57', 'C4A', 'C3', 'IGLV1-51', 'IGHV1-69', 'C1QC', 'CFB', 'IGLV1-40', 'IGHV1-46', 'IGKV1D-16', 'C1QA', 'IGKV1-16', 'IGHV2-5', 'IGKV1-17', 'C2', 'C1S', 'FCN3', 'MBL2', 'MASP1', 'CFD']","[['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC'], ['REAC']]"
