Genes,1st DBT,Healthy control,pre DBT,kruskal_fdr,1st DBT_percentage,healthy_control_vs_pre_DBT_group,1st_DBT_vs_pre_DBT_group,label,HPA specific annotation
A1BG,0.2826475670569218,-0.3606638459232079,0.1364991345917722,0.2744913205279815,1.0,-0.4971629805149801,0.14614843246514958,LMH,Liver
A2M,-0.0823509747467949,0.03982911612625553,0.03141457763206414,0.7766320913827898,1.0,0.008414538494191388,-0.11376555237885905,HML,
ADGRB3,-0.4650313245065627,0.4054384405384266,-0.01954073103594045,0.008017855125943333,1.0,0.42497917157436704,-0.44549059347062225,HML,
ADIPOQ,-0.007587698285343042,0.20176279371406228,-0.22335967063954648,0.5908102514171204,1.0,0.4251224643536088,0.21577197235420345,HLH,
AFM,-0.2909887428776523,0.12494040568886433,0.12823659640996965,0.32746432926193936,1.0,-0.0032961907211053187,-0.41922533928762196,LHL,Liver
AGT,-0.09190861387064403,0.37558867936408563,-0.3261798194239251,0.059702966588280684,1.0,0.7017684987880107,0.23427120555328107,HLH,Liver
AHSG,-0.12267519112033268,-0.019575253494037298,0.1328777230119404,0.7098152737191715,1.0,-0.1524529765059777,-0.2555529141322731,LHL,Liver
ALB,-0.1708869411273769,0.6156399816885507,-0.5162554880898734,0.00014689767327627425,1.0,1.1318954697784243,0.3453685469624965,HLH,Liver
AMBP,-0.24129161461680243,0.02903187771181436,0.18768487396604236,0.6580676213261095,1.0,-0.158652996254228,-0.42897648858284476,LHL,Liver
ANXA6,0.31421660687451836,-0.47997840198000025,0.23796134136499603,0.0069432540749008445,1.0,-0.7179397433449963,0.07625526550952233,LMH,
APCS,0.26861075771578363,-0.503910416402615,0.3055288563339563,0.0287711916672241,1.0,-0.8094392727365713,-0.03691809861817269,LHL,Liver
APMAP,0.043629739053429206,0.19194046893491065,-0.24263262369698393,0.4276732097877839,1.0,0.4345730926318946,0.28626236275041317,HLH,
APOA1,-0.34712302379639537,0.27013583247589473,0.020872749841227892,0.19553240439532574,1.0,0.24926308263466684,-0.36799577363762326,HML,Liver
APOA2,-0.37409308280308734,0.4652480817639399,-0.16745874119422252,0.006708642042156628,1.0,0.6327068229581624,-0.20663434160886482,HML,Liver
APOA4,-0.23802753589641873,0.2562101187341058,-0.06311327871317562,0.4638261791431024,1.0,0.31932339744728144,-0.1749142571832431,HML,GI-tract
APOB,-0.020060199672653566,-0.15235204773442454,0.18443877904905903,0.7298389136856701,1.0,-0.3367908267834836,-0.2044989787217126,LHL,
APOC1,0.06634901797436588,0.22987846266228262,-0.31109379379010843,0.18753878069871507,1.0,0.5409722564523911,0.3774428117644743,HLH,Liver
APOC2,0.1435070885546009,-0.2977234629564115,0.19432824272100202,0.46391721397456154,1.0,-0.4920517056774135,-0.05082115416640112,LHL,Liver
APOC3,-0.1137141577303312,0.02514608355332372,0.07594441587849175,0.9313281316631854,1.0,-0.05079833232516803,-0.18965857360882293,LHL,Liver
APOC4,-0.29959262111611545,0.2794690880906982,-0.04613628695319639,0.32992252860483595,0.95,0.3256053750438946,-0.2534563341629191,HML,Liver
APOD,-0.008061922508852465,-0.037834175077079375,0.04860266600119236,0.9179049531754142,1.0,-0.08643684107827174,-0.05666458851004483,LHL,Female tissue
APOE,0.22002413676766475,-0.5454229892555441,0.3949849548536216,0.011858730002127667,1.0,-0.9404079441091657,-0.17496081808595687,LHL,
APOF,0.18307750531845438,-0.2860723231731414,0.1456448022630327,0.38594568454262945,1.0,-0.43171712543617413,0.03743270305542168,LMH,Liver
APOH,0.10352868749032115,0.19613832391541106,-0.3080860692625751,0.37506077926339726,1.0,0.5042243931779862,0.41161475675289627,HLH,Liver
APOL1,0.21017713414444347,-0.361049005306504,0.2028015202030292,0.19873972223554512,1.0,-0.5638505255095332,0.007375613941414283,LMH,
APOM,-0.24048234740371904,0.5490112942109637,-0.3803010960449315,0.0028582308222747017,1.0,0.9293123902558953,0.13981874864121246,HLH,Liver
ATRN,0.02257769552482646,-0.3756117088119741,0.389233050045058,0.06965716916501206,1.0,-0.7648447588570321,-0.3666553545202315,LHL,
AZGP1,-0.09169388594027283,-0.3460678378646432,0.46088662852530804,0.06361017050543673,1.0,-0.8069544663899513,-0.5525805144655809,LHL,
B2M,0.6685840927142148,-0.6771450963812772,0.13090002085753508,0.0003153756648145442,1.0,-0.8080451172388122,0.5376840718566798,LMH,
BCHE,-0.5448442130510764,0.6090381233604759,-0.1690923045286404,0.0015680636513496536,1.0,0.7781304278891163,-0.375751908522436,HML,Liver
BTD,-0.6010950549849208,0.8092231719167979,-0.3363388648320295,7.092385962531316e-05,1.0,1.1455620367488275,-0.26475619015289126,HML,
C1QA,0.44436413396970414,-0.30747429757466965,-0.06854088807281218,0.16477160631675938,1.0,-0.23893340950185749,0.5129050220425163,LMH,
C1QB,0.32275119024969984,-0.0027218382385750064,-0.2904408948758201,0.2428895669216435,1.0,0.28771905663724506,0.6131920851255199,HLH,
