label,,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences,fdr
HLH,0,REAC,REAC:R-HSA-9668250,Defective factor IX causes hemophilia B,1.721055234643074e-06,True,Defective factor IX causes hemophilia B,9,6,3,10835,0.5,0.3333333333333333,query_1,['REAC:R-HSA-9651496'],"['F10', 'F11', 'GP1BA']","[['REAC'], ['REAC'], ['REAC']]",4.302638086607685e-05
HLH,1,REAC,REAC:R-HSA-9651496,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),1.1457019904497938e-05,True,Defects of contact activation system (CAS) and kallikrein/kinin system (KKS),16,6,3,10835,0.5,0.1875,query_1,['REAC:R-HSA-9671793'],"['F10', 'F11', 'GP1BA']","[['REAC'], ['REAC'], ['REAC']]",9.547516587081616e-05
HLH,2,REAC,REAC:R-HSA-9671793,Diseases of hemostasis,1.1457019904497938e-05,True,Diseases of hemostasis,16,6,3,10835,0.5,0.1875,query_1,['REAC:R-HSA-1643685'],"['F10', 'F11', 'GP1BA']","[['REAC'], ['REAC'], ['REAC']]",9.547516587081616e-05
HLH,3,WP,WP:WP2806,Complement system,2.0168601273711512e-05,True,Complement system,96,6,4,8625,0.6666666666666666,0.041666666666666664,query_1,['WP:000000'],"['ALB', 'F10', 'F11', 'SELL']","[['WP'], ['WP'], ['WP'], ['WP']]",0.00012605375796069694
HLH,4,REAC,REAC:R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,3.618012427413239e-05,True,Intrinsic Pathway of Fibrin Clot Formation,23,6,3,10835,0.5,0.13043478260869565,query_1,['REAC:R-HSA-140877'],"['F10', 'F11', 'GP1BA']","[['REAC'], ['REAC'], ['REAC']]",0.00018090062137066193
HLH,5,REAC,REAC:R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),0.0001860819564405042,True,Formation of Fibrin Clot (Clotting Cascade),39,6,3,10835,0.5,0.07692307692307693,query_1,['REAC:R-HSA-109582'],"['F10', 'F11', 'GP1BA']","[['REAC'], ['REAC'], ['REAC']]",0.0007753414851687676
HLH,6,HP,HP:0006298,Prolonged bleeding after dental extraction,0.00022094761085291034,True,Prolonged bleeding post dental extraction sufficient to require medical intervention.,21,4,3,4962,0.75,0.14285714285714285,query_1,['HP:0011890'],"['F10', 'F11', 'GP1BA']","[['HP'], ['HP'], ['HP']]",0.0007867680330805269
HLH,7,GO:CC,GO:0005615,extracellular space,0.00025176577058576863,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",3284,7,7,22090,1.0,0.002131546894031669,query_1,"['GO:0005576', 'GO:0110165']","['ALB', 'APOM', 'CRTAC1', 'F10', 'F11', 'GP1BA', 'SELL']","[['IDA', 'HDA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['HDA'], ['IBA'], ['IDA', 'HDA', 'IEA'], ['HDA', 'IBA'], ['IBA']]",0.0007867680330805269
HLH,8,HP,HP:0011890,Prolonged bleeding following procedure,0.0006735510832259946,True,Prolonged or protracted bleeding following an invasive procedure or intervention.,30,4,3,4962,0.75,0.1,query_1,['HP:0001892'],"['F10', 'F11', 'GP1BA']","[['HP'], ['HP'], ['HP']]",0.0018709752311833183
HLH,9,REAC,REAC:R-HSA-9673221,Defective F9 activation,0.0008325479038230124,True,Defective F9 activation,6,6,2,10835,0.3333333333333333,0.3333333333333333,query_1,['REAC:R-HSA-9668250'],"['F11', 'GP1BA']","[['REAC'], ['REAC']]",0.002056213892951193
