Genes,DNP_mean,DP_mean,DNP_vs_DP,ttest_statistics,ttest_pvalues,ttest_fdr,ranksums_statistics,ranksums_pvalues,ranksums_fdr,DNP_percentage,DP_percentage
A1BG,18.983451729806266,19.111246837659564,0.9933130941723032,-2.2826334092525933,0.024997500249975,0.07704708981156679,-2.1844148461187682,0.028931778282789814,0.07658411898385539,1.0,1.0
A2M,19.523710286302855,19.966911485174144,0.9778032171274773,-2.7416426374323186,0.007099290070992901,0.03374662533746626,-2.675908186495491,0.007452705845780875,0.03287958461373915,1.0,1.0
ADARB1,16.52060405446469,16.06444951405629,1.0283952799010803,1.6781654662381662,0.09559044095590441,0.19203436799177226,1.2816922574218208,0.19995062207227587,0.3460683843558621,0.6896551724137931,0.8666666666666667
ADGRB3,18.842867618643005,18.017327008310115,1.0458192610897348,4.374853632306786,9.999000099990002e-05,0.0044995500449955,3.8595377632602252,0.00011360170180036728,0.006402021767081516,0.9655172413793104,1.0
ADIPOQ,15.858770397106017,16.1278847933554,0.9833137203236809,-1.6215173102696345,0.1110888911108889,0.2154741422409483,-1.2172540068010338,0.22350758765929946,0.37251264609883245,0.7068965517241379,0.9333333333333333
AFM,17.984255006150825,17.63340736806786,1.0198967579413103,2.739666031480204,0.006899310068993101,0.03374662533746625,2.9762652278368216,0.002917823937737403,0.017276589105024096,1.0,1.0
AGT,17.909118130779206,17.9584790251662,0.9972513878086323,-0.5320746259224222,0.6057394260573943,0.7288308602294851,-0.587061489894419,0.5571624101664562,0.724633192413021,1.0,1.0
AHSG,19.22292539517533,19.252601058560604,0.9984586153686451,-0.30524744427284495,0.7713228677132287,0.8634211205745097,-0.0409577783647269,0.967329555580697,0.9760051569760395,1.0,1.0
ALB,21.871695669673624,21.982902995802633,0.994941190153537,-0.7494488191200647,0.4577542245775422,0.6058511795879236,-0.43688296922375364,0.662196223639096,0.8141756848021672,1.0,1.0
AMBP,18.879599877165266,18.712426344657942,1.0089338244772863,1.3189460245977151,0.19668033196680332,0.3230151437411003,1.5563955778596223,0.11961405610225298,0.2261610304454363,1.0,1.0
ANXA6,18.762758617428823,18.755947472868865,1.0003631458538584,0.08458377249833708,0.9341065893410659,0.9673000589849272,-0.3003570413413306,0.7639048277785876,0.879930262587946,1.0,1.0
APCS,19.374858097304152,19.372972950965124,1.000097308056115,0.043812933222209166,0.9685031496850315,0.9815910300861805,-0.054610371152969205,0.9564488761051453,0.969373860917377,1.0,1.0
APMAP,16.143858618439854,16.255713466249908,0.9931190440799608,-0.5986749355339518,0.5540445955404459,0.7012220126301977,-0.7471503784223429,0.45497279318797934,0.6204174452563355,0.7413793103448276,0.8666666666666667
APOA1,20.483228226793383,20.650347538176934,0.9919071913402623,-1.9598579103205716,0.053594640535946404,0.12693467495355729,-2.348245959577676,0.01886206116058242,0.058943941126820054,1.0,1.0
APOA2,19.2745573445065,19.16038026130434,1.0059590196877641,1.0730336613410747,0.2863713628637136,0.4267122956578514,1.638311134589076,0.10135680612674962,0.20004632788174265,1.0,1.0
APOA4,18.8915648429161,18.685421266372202,1.0110323215947445,1.3459041718717872,0.18708129187081293,0.3141290348577083,1.0649022374828994,0.28692017241198065,0.44290053131200047,1.0,1.0
APOB,18.126987648342627,18.099195598016358,1.0015355406363649,0.2485378806768237,0.8084191580841916,0.8916387772987409,-0.0955681495176961,0.923863562383787,0.9623578774831114,1.0,1.0
APOC1,20.03165607222798,20.30658644706704,0.9864610245766458,-1.5705210858348941,0.11358864113588642,0.21811378184215474,-1.6656163201655607,0.09578985845318025,0.1941686319996897,1.0,1.0
APOC2,20.181259526942096,19.346555981431163,1.0431448132841878,3.5576583261697743,0.000999900009999,0.01406109389061094,3.2356644908134253,0.001213599384760069,0.01365285755323438,1.0,1.0
